Date,Day_of_the_week,App ,Minutes,Category
8/27,Sunday,TIKTOK,267,Entertainment
8/27,Sunday,SNAPCHAT,50,Social Media
8/27,Sunday,SPOTIFY,26,Entertainment
8/27,Sunday,MAPS,17,Travel
8/27,Sunday,MESSAGES,17,Other
8/27,Sunday,INSTAGRAM,13,Social Media
8/27,Sunday,SAFARI,11,Education
8/28,Monday,TIKTOK,46,Entertainment
8/28,Monday,INSTAGRAM,15,Social Media
8/28,Monday,SAFARI,13,Education
8/28,Monday,SNAPCHAT,11,Social Media
8/28,Monday,SPOTIFY,7,Entertainment
8/28,Monday,PHOTOS,4,Other
8/28,Monday,CAMERA,3,Other
8/29,Tuesday,TIKTOK,39,Entertainment
8/29,Tuesday,SPOTIFY,30,Entertainment
8/29,Tuesday,MESSAGES,14,Other
8/29,Tuesday,INSTAGRAM,13,Social Media
8/29,Tuesday,SAFARI,12,Education
8/29,Tuesday,SNAPCHAT,8,Social Media
8/29,Tuesday,WEATHER,5,Education
8/30,Wednesday,TIKTOK,57,Entertainment
8/30,Wednesday,SAFARI,12,Education
8/30,Wednesday,SNAPCHAT,12,Social Media
8/30,Wednesday,MESSAGES,8,Other
8/30,Wednesday,SPOTIFY,8,Entertainment
8/30,Wednesday,INSTAGRAM,6,Social Media
8/30,Wednesday,CLOCK,3,Other
8/31,Thursday,PHOTOS,35,Other
8/31,Thursday,TIKTOK,22,Entertainment
8/31,Thursday,SNAPCHAT,17,Social Media
8/31,Thursday,INSTAGRAM,15,Social Media
8/31,Thursday,SHAKE SHACK,9,Other
8/31,Thursday,SAFARI,8,Education
8/31,Thursday,CAMERA,5,Other
9/1,Friday,SNAPCHAT,51,Social Media
9/1,Friday,BLOONS TD 5,45,Entertainment
9/1,Friday,TIKTOK,43,Entertainment
9/1,Friday,CHROME,41,Education
9/1,Friday,MAPS,13,Travel
9/1,Friday,SPOTIFY,10,Entertainment
9/1,Friday,SAFARI,6,Education
9/2,Saturday,TIKTOK,103,Entertainment
9/2,Saturday,SPOTIFY,23,Entertainment
9/2,Saturday,CHROME,15,Education
9/2,Saturday,SNAPCHAT,15,Social Media
9/2,Saturday,SAFARI,14,Education
9/2,Saturday,INSTAGRAM,9,Social Media
9/2,Saturday,CLOCK,6,Other
